Field,Journal Title,AJG 2024,AJG 2021,Citescore rank,SNIP rank,SJR rank,JIF rank,SDG content (2017-21),International co-authorship (2017-21),Academic-non-academic collaborations (2017-21),Citations policy docs (2017-21),,,,,,,,,,,
ETHICS-CSR-MAN,Harvard Business Review,3,3,49,7,41,,6%,27%,16%,0,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Management Reviews,3,3,3,3,7,,18%,45%,10%,0.61,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Business Ethics,3,3,14,15,12,,46%,49%,10%,0.441,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Business Research,3,3,12,13,14,,28%,53%,10%,0.233,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Management Inquiry,3,3,26,33,16,,22%,53%,7%,0.142,,,,,,,,,,,
ETHICS-CSR-MAN,MIT Sloan Management Review,3,3,28,29,22,,2%,41%,29%,0,,,,,,,,,,,
ETHICS-CSR-MAN,Africa Journal of Management,2,2,55,67,60,,83%,54%,9%,0.194,,,,,,,,,,,
ETHICS-CSR-MAN,Australian Journal of Management,2,2,38,43,43,,26%,34%,17%,0.333,,,,,,,,,,,
ETHICS-CSR-MAN,BRQ Business Research Quarterly,2,2,20,21,32,,38%,36%,8%,0.183,,,,,,,,,,,
ETHICS-CSR-MAN,Business and Politics,2,2,56,57,38,,71%,34%,10%,0.843,,,,,,,,,,,
ETHICS-CSR-MAN,Business Ethics the Environment and Responsibility,2,2,19,25,24,,60%,45%,10%,0.075,,,,,,,,,,,
ETHICS-CSR-MAN,Business Horizons,2,2,10,12,15,,40%,35%,13%,0.508,,,,,,,,,,,
ETHICS-CSR-MAN,Canadian Journal of Administrative Sciences,2,2,63,76,62,,23%,38%,8%,0.097,,,,,,,,,,,
ETHICS-CSR-MAN,Competition and Change,2,2,33,35,27,,64%,42%,8%,1.331,,,,,,,,,,,
ETHICS-CSR-MAN,Equality Diversity and Inclusion: an International Journal,2,2,59,52,53,,78%,26%,7%,0.348,,,,,,,,,,,
ETHICS-CSR-MAN,Eurasian Business Review,2,2,27,30,29,,70%,47%,14%,0.618,,,,,,,,,,,
ETHICS-CSR-MAN,European Business Review,2,2,18,17,23,,47%,42%,7%,0.079,,,,,,,,,,,
ETHICS-CSR-MAN,European Journal of Women's Studies,2,2,41,24,34,,72%,23%,8%,0.496,,,,,,,,,,,
ETHICS-CSR-MAN,European Management Journal,2,2,16,18,18,,25%,49%,12%,0.265,,,,,,,,,,,
ETHICS-CSR-MAN,Feminist Economics,2,2,31,31,25,,87%,37%,20%,4.169,,,,,,,,,,,
ETHICS-CSR-MAN,Feminist Review,2,2,65,40,44,,49%,0%,2%,0.194,,,,,,,,,,,
ETHICS-CSR-MAN,Global Journal of Flexible Systems Management,2,2,17,32,28,,63%,24%,18%,0.065,,,,,,,,,,,
ETHICS-CSR-MAN,IIM Kozhikode Society & Management Review,2,2,,,,,50%,11%,14%,0.109,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Business Governance and Ethics,2,2,82,82,77,,49%,45%,13%,0.013,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Conflict Management,2,2,50,48,49,,31%,41%,8%,0.023,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Gender and Entrepreneurship,2,2,36,53,46,,94%,47%,16%,0.295,,,,,,,,,,,
ETHICS-CSR-MAN,International Studies of Management and Organization,2,2,52,59,55,,24%,49%,12%,0.083,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Intellectual Capital,2,2,13,16,21,,71%,47%,10%,0.083,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Management and Organization,2,2,39,51,42,,35%,37%,9%,0.224,,,,,,,,,,,
ETHICS-CSR-MAN,Management Decision,2,2,24,34,30,,50%,42%,10%,0.083,,,,,,,,,,,
ETHICS-CSR-MAN,Management Revue,2,2,72,77,73,,29%,21%,18%,0.096,,,,,,,,,,,
ETHICS-CSR-MAN,Review of Managerial Science,2,2,22,28,26,,32%,35%,5%,0.114,,,,,,,,,,,
ETHICS-CSR-MAN,Scandinavian Journal of Management,2,2,30,37,31,,21%,38%,7%,0.292,,,,,,,,,,,
ETHICS-CSR-MAN,Schmalenbach Journal of Business Research,2,2,89,87,90,,,,,,,,,,,,,,,,
ETHICS-CSR-MAN,Sex Roles,2,2,23,23,20,,68%,21%,10%,0.457,,,,,,,,,,,
ETHICS-CSR-MAN,Signs,2,2,51,20,35,,46%,20%,5%,0.341,,,,,,,,,,,
ETHICS-CSR-MAN,Acta Commercii,1,1,91,,,77%,10%,5%,0.073,,,,,,,,,,,,
ETHICS-CSR-MAN,American Journal of Business,1,,,,,,,,,,,,,,,,,,,,
ETHICS-CSR-MAN,Annals of Work Exposures and Health,1,1,32,42,37,,49%,29%,50%,0.597,,,,,,,,,,,
ETHICS-CSR-MAN,Asian Journal of Management Cases,1,1,92,88,91,,60%,15%,8%,0.012,,,,,,,,,,,
ETHICS-CSR-MAN,Baltic Journal of Management,1,1,40,47,50,,39%,33%,11%,0.063,,,,,,,,,,,
ETHICS-CSR-MAN,Business & Professional Ethics Journal,1,1,90,90,86,,37%,21%,12%,0.02,,,,,,,,,,,
ETHICS-CSR-MAN,Business and Human Rights Journal,1,1,58,26,39,,88%,34%,14%,1.416,,,,,,,,,,,
ETHICS-CSR-MAN,Business Perspectives and Research,1,1,68,72,76,,52%,11%,19%,0.048,,,,,,,,,,,
ETHICS-CSR-MAN,CASE Journal,1,1,94,92,92,,55%,13%,11%,0,,,,,,,,,,,
ETHICS-CSR-MAN,Cogent Business and Management,1,1,64,55,65,,59%,30%,17%,0.086,,,,,,,,,,,
ETHICS-CSR-MAN,Economic and Business Review,1,,,,,,,,,,,,,,,,,,,,
ETHICS-CSR-MAN,Emerald Emerging Markets Case Studies,1,1,93,91,82,,72%,18%,15%,0.007,,,,,,,,,,,
ETHICS-CSR-MAN,FIIB Business Review,1,1,57,73,64,,49%,14%,25%,0.085,,,,,,,,,,,
ETHICS-CSR-MAN,Gender in Management: An International Journal,1,1,45,36,51,,85%,32%,10%,0.33,,,,,,,,,,,
ETHICS-CSR-MAN,Global Business Review,1,1,62,39,54,,60%,21%,13%,0.055,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Arts Management,1,1,77,56,63,,17%,37%,19%,0,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Business Competition and Growth,1,,,,,,,,,,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Business Environment,1,1,76,86,71,,57%,36%,15%,0.034,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Business Excellence,1,1,67,66,66,,48%,17%,16%,0.002,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Contemporary Management,1,,,,,,,,,,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Globalisation and Small Business,1,1,73,80,78,,57%,28%,13%,0,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Knowledge-Based Development,1,1,53,61,58,,68%,25%,13%,0.068,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Management and Decision Making,1,1,66,71,74,,32%,31%,13%,0,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Management Concepts and Philosophy,1,,,,,,,,,,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Management Practice,1,1,86,83,85,,46%,16%,12%,0.036,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Management Economics and Social Sciences,1,,,,,,,,,,,,,,,,,,,,
ETHICS-CSR-MAN,International Journal of Managing Projects in Business,1,1,35,38,36,,36%,29%,11%,0.063,,,,,,,,,,,
ETHICS-CSR-MAN,Iranian Journal of Management Studies,1,1,87,85,87,,34%,13%,9%,0,,,,,,,,,,,
ETHICS-CSR-MAN,Irish Journal of Management,1,,,,,,,,,,,,,,,,,,,,
ETHICS-CSR-MAN,Journal for Global Business Advancement,1,1,78,84,84,,42%,44%,15%,0,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Contemporary Administration,1,,,,,40%,12%,11%,0.016,,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Creating Value,1,1,59,78,61,,16%,20%,10%,0.023,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Family Business Management,1,1,43,62,45,,43%,30%,9%,0,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of General Management,1,1,81,81,67,,36%,39%,21%,0.044,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Global Responsibility,1,1,37,,,69%,29%,7%,0.054,,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Human Values,1,1,85,69,88,,43%,22%,8%,0,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Indian Business Research,1,1,59,63,68,,58%,7%,11%,0.044,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Islamic Business & Management,1,,,,,,,,,,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Management and Governance,1,1,48,45,48,,32%,33%,15%,0.101,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Management Sciences,1,,,,,,,,,,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Management Spirituality and Religion,1,1,45,44,40,,18%,32%,15%,0.033,,,,,,,,,,,
ETHICS-CSR-MAN,Journal of Revenue and Pricing Management,1,1,71,60,56,,13%,31%,16%,0.052,,,,,,,,,,,
ETHICS-CSR-MAN,Management,1,1,83,64,83,,60%,21%,23%,0.04,,,,,,,,,,,
ETHICS-CSR-MAN,Management Research Review,1,1,34,41,47,,42%,27%,10%,0.096,,,,,,,,,,,
ETHICS-CSR-MAN,Measuring Business Excellence,1,1,54,58,59,,49%,23%,17%,0.044,,,,,,,,,,,
ETHICS-CSR-MAN,Metamorphosis- A Journal of Management Research,1,,,,,,,,,,,,,,,,,,,,
ETHICS-CSR-MAN,Organization Management Journal,1,1,80,79,70,,24%,14%,15%,0.165,,,,,,,,,,,
ETHICS-CSR-MAN,Policy and Practice in Health and Safety,1,1,69,74,72,,94%,24%,34%,0.44,,,,,,,,,,,
ETHICS-CSR-MAN,Problems and Perspectives in Management,1,1,73,68,81,,71%,20%,18%,0.046,,,,,,,,,,,
ETHICS-CSR-MAN,PSU Research Review: An International Interdisciplinary Journal,1,1,,,,,46%,51%,19%,0.072,,,,,,,,,,,
ETHICS-CSR-MAN,RAE Revista de Administracao de Empresas,1,1,73,75,80,,33%,23%,12%,0.028,,,,,,,,,,,
ETHICS-CSR-MAN,RAUSP Management Journal,1,1,79,70,69,,39%,19%,16%,0.241,,,,,,,,,,,
ETHICS-CSR-MAN,Safety and Reliability,1,1,,,,,18%,21%,14%,0,,,,,,,,,,,
ETHICS-CSR-MAN,Social Responsibility Journal,1,1,42,49,52,,78%,28%,9%,0.063,,,,,,,,,,,
ETHICS-CSR-MAN,South Asian Journal of Business and Management Cases,1,1,88,89,89,,67%,20%,16%,0.025,,,,,,,,,,,
ETHICS-CSR-MAN,South Asian Journal of Business Studies,1,1,47,46,57,,81%,28%,11%,0.031,,,,,,,,,,,
ETHICS-CSR-MAN,Symphonya. Emerging Issues in Management,1,,,,,,,,,,,,,,,,,,,,
ETHICS-CSR-MAN,Vezetlstudomány | Budapest Management Review,1,,,,,,,,,,,,,,,,,,,,
ETHICS-CSR-MAN,Vikalpa,1,1,70,54,75,,47%,16%,22%,0.153,,,,,,,,,,,
ETHICS-CSR-MAN,Vision,1,1,83,65,79,,54%,8%,13%,0.031,,,,,,,,,,,
FINANCE,Journal of Finance,4*,4*,1,1,1,,24%,32%,18%,9.409,,,,,,,,,,,
FINANCE,Journal of Financial Economics,4*,4*,2,2,3,,31%,58%,38%,6.079,,,,,,,,,,,
FINANCE,Review of Financial Studies,4*,4*,3,3,2,,32%,53%,35%,8.011,,,,,,,,,,,
FINANCE,Journal of Corporate Finance,4,4,13,10,14,,42%,56%,13%,0.707,,,,,,,,,,,
FINANCE,Journal of Financial and Quantitative Analysis,4,4,19,7,7,,23%,50%,20%,1.409,,,,,,,,,,,
FINANCE,Journal of Financial Intermediation,4,4,4,5,6,,66%,50%,42%,8.861,,,,,,,,,,,
FINANCE,Journal of Money Credit and Banking,4,4,34,19,12,,62%,53%,41%,5.933,,,,,,,,,,,
FINANCE,Review of Finance,4,4,8,6,8,,38%,57%,35%,6.325,,,,,,,,,,,
FINANCE,Annual Review of Financial Economics,3,3,22,14,5,,60%,53%,39%,4.513,,,,,,,,,,,
FINANCE,Corporate Governance: An International Review,3,3,6,28,25,,44%,52%,6%,0.27,,,,,,,,,,,
FINANCE,European Financial Management,3,3,38,43,33,,24%,47%,19%,0.476,,,,,,,,,,,
FINANCE,European Journal of Finance,3,3,51,56,65,,37%,47%,16%,0.341,,,,,,,,,,,
FINANCE,Finance and Stochastics,3,3,27,20,13,,3%,60%,24%,0.007,,,,,,,,,,,
FINANCE,Financial Analysts Journal,3,3,41,11,26,,10%,29%,33%,0.726,,,,,,,,,,,
FINANCE,Financial Management,3,3,37,25,19,,23%,43%,14%,0.763,,,,,,,,,,,
FINANCE,Financial Markets Institutions and Instruments,3,3,76,75,49,,49%,38%,21%,0.419,,,,,,,,,,,
FINANCE,Financial Review,3,3,72,65,56,,17%,34%,11%,0.105,,,,,,,,,,,
FINANCE,Insurance: Mathematics and Economics,3,3,43,29,31,,12%,52%,18%,0.048,,,,,,,,,,,
FINANCE,International Journal of Central Banking,3,3,48,44,22,,67%,44%,33%,0.732,,,,,,,,,,,
FINANCE,International Journal of Finance and Economics,3,3,68,67,68,,57%,49%,18%,0.298,,,,,,,,,,,
FINANCE,International Review of Financial Analysis,3,3,15,23,30,,36%,51%,18%,0.387,,,,,,,,,,,
FINANCE,Journal of Banking and Finance,3,3,16,15,18,,42%,53%,22%,1.595,,,,,,,,,,,
FINANCE,Journal of Commodity Markets,3,3,31,32,51,,23%,34%,14%,0.374,,,,,,,,,,,
FINANCE,Journal of Empirical Finance,3,3,35,40,29,,21%,57%,20%,0.344,,,,,,,,,,,
FINANCE,Journal of Financial Econometrics,3,3,29,27,17,,6%,57%,31%,0.44,,,,,,,,,,,
FINANCE,Journal of Financial Markets,3,3,36,26,21,,12%,52%,21%,1.05,,,,,,,,,,,
FINANCE,Journal of Financial Research,3,3,84,80,67,,28%,35%,16%,0.09,,,,,,,,,,,
FINANCE,Journal of Financial Services Research,3,3,39,42,36,,58%,45%,29%,3.312,,,,,,,,,,,
FINANCE,Journal of Financial Stability,3,3,7,16,16,,75%,53%,37%,3.97,,,,,,,,,,,
FINANCE,Journal of Futures Markets,3,3,44,53,37,,12%,42%,15%,0.084,,,,,,,,,,,
FINANCE,Journal of International Financial Markets Institutions and Money,3,3,17,24,27,20,47%,58%,17%,0.457,,,,,,,,,,,
FINANCE,Journal of International Money and Finance,3,3,24,17,20,22,61%,53%,40%,4.578,,,,,,,,,,,
FINANCE,Journal of Portfolio Management,3,3,71,58,54,53,13%,33%,29%,0.114,,,,,,,,,,,
FINANCE,Journal of Real Estate Finance and Economics,3,3,57,39,38,43,41%,38%,15%,0.506,,,,,,,,,,,
FINANCE,Journal of Risk and Insurance,3,3,30,21,32,33,28%,35%,11%,0.591,,,,,,,,,,,
FINANCE,Mathematical Finance,3,3,10,9,11,25,4%,63%,28%,0.088,,,,,,,,,,,
FINANCE,Quantitative Finance,3,3,42,46,43,41,9%,50%,28%,0.378,,,,,,,,,,,
FINANCE,Review of Asset Pricing Studies,3,3,20,13,9,19,19%,47%,23%,2.62,,,,,,,,,,,
FINANCE,Review of Corporate Finance Studies,3,3,9,8,4,,23%,42%,27%,4.486,,,,,,,,,,,
FINANCE,Review of Quantitative Finance and Accounting,3,3,49,48,53,,25%,39%,10%,0.064,,,,,,,,,,,
FINANCE,Annals of Corporate Governance,2,,,,,36%,60%,9%,0.091,,,,,,,,,,,,
FINANCE,Annals of Finance,2,2,78,79,75,,31%,39%,20%,0.139,,,,,,,,,,,
FINANCE,Applied Mathematical Finance,2,2,79,70,58,,3%,41%,29%,0,,,,,,,,,,,
FINANCE,Asia-Pacific Financial Markets,2,2,105,102,107,,28%,24%,15%,0.027,,,,,,,,,,,
FINANCE,ASTIN Bulletin,2,2,59,38,34,45,11%,46%,13%,0.048,,,,,,,,,,,
FINANCE,Corporate Governance (Bingley),2,2,26,45,60,,62%,36%,11%,0.055,,,,,,,,,,,
FINANCE,Emerging Markets Finance and Trade,2,2,47,63,61,44,65%,31%,16%,0.24,,,,,,,,,,,
FINANCE,Emerging Markets Review,2,2,11,18,24,15,62%,54%,15%,0.484,,,,,,,,,,,
FINANCE,European Actuarial Journal,2,,80,62,55,,16%,24%,27%,0.043,,,,,,,,,,,
FINANCE,Finance Research Letters,2,2,18,30,28,18,34%,45%,17%,0.333,,,,,,,,,,,
FINANCE,Financial Innovation,2,,12,22,4,,51%,35%,15%,0.201,,,,,,,,,,,
FINANCE,Financial Markets and Portfolio Management,2,2,102,107,103,,19%,37%,31%,0.15,,,,,,,,,,,
FINANCE,Foundations and Trends in Finance,2,2,54,10,,,43%,100%,14%,3.714,,,,,,,,,,,
FINANCE,Geneva Papers on Risk and Insurance: Issues and Practice,2,2,58,64,73,51,51%,40%,25%,0.78,,,,,,,,,,,
FINANCE,Global Finance Journal,2,2,39,49,64,19,49%,47%,13%,0.18,,,,,,,,,,,
FINANCE,International Journal of Banking Accounting and Finance,2,2,111,110,112,,47%,42%,17%,0.015,,,,,,,,,,,
FINANCE,International Journal of Managerial Finance,2,2,54,54,80,,49%,36%,8%,0.082,,,,,,,,,,,
FINANCE,International Journal of Theoretical and Applied Finance,2,2,90,78,69,,7%,46%,25%,0.015,,,,,,,,,,,
FINANCE,International Tax and Public Finance,2,2,63,52,45,50,72%,52%,42%,3.263,,,,,,,,,,,
FINANCE,Journal of Alternative Investments,2,2,72,93,77,,21%,26%,24%,0.172,,,,,,,,,,,
FINANCE,Journal of Asset Management,2,2,97,98,83,,17%,33%,23%,0.203,,,,,,,,,,,
FINANCE,Journal of Banking Regulation,2,2,95,94,101,,95%,38%,15%,0.359,,,,,,,,,,,
FINANCE,Journal of Behavioral Finance,2,2,60,66,63,49,12%,28%,16%,0.154,,,,,,,,,,,
FINANCE,Journal of Derivatives,2,2,98,74,79,58,2%,43%,20%,0.008,,,,,,,,,,,
FINANCE,Journal of Economics and Business,2,2,32,50,62,,56%,22%,9%,0.887,,,,,,,,,,,
FINANCE,Journal of Emerging Market Finance,2,2,103,89,102,,61%,26%,14%,0.136,,,,,,,,,,,
FINANCE,Journal of Fixed Income,2,2,108,99,81,,11%,27%,21%,0.111,,,,,,,,,,,
FINANCE,Journal of Law Finance and Accounting,2,,66,71,57,,30%,41%,30%,0.953,,,,,,,,,,,
FINANCE,Journal of Multinational Financial Management,2,2,25,55,52,12,56%,54%,17%,0.099,,,,,,,,,,,
FINANCE,Journal of Operational Risk,2,2,91,91,99,59,48%,29%,21%,0.104,,,,,,,,,,,
FINANCE,Journal of Pension Economics and Finance,2,2,53,36,46,46,72%,32%,35%,2.069,,,,,,,,,,,
FINANCE,Journal of Risk,2,2,93,96,85,56,29%,35%,28%,0.056,,,,,,,,,,,
FINANCE,North American Actuarial Journal,2,2,69,57,44,,20%,38%,17%,0.098,,,,,,,,,,,
FINANCE,Pacific Basin Finance Journal,2,2,28,33,39,29,47%,46%,12%,0.077,,,,,,,,,,,
FINANCE,Research in International Business and Finance,2,2,21,31,47,10,52%,44%,17%,0.267,,,,,,,,,,,
FINANCE,Review of Accounting and Finance,2,2,81,85,94,,28%,32%,11%,0.054,,,,,,,,,,,
FINANCE,Review of Derivatives Research,2,2,96,95,86,55,11%,28%,19%,0.088,,,,,,,,,,,
FINANCE,Review of Development Finance,2,2,23,12,50,,76%,40%,18%,1.673,,,,,,,,,,,
FINANCE,SIAM Journal on Financial Mathematics,2,2,54,47,23,42,11%,58%,29%,0.05,,,,,,,,,,,
FINANCE,African Finance Journal,1,1,84,103,105,,71%,26%,6%,0.029,,,,,,,,,,,
FINANCE,Agricultural Finance Review,1,1,54,60,66,,79%,23%,25%,0.332,,,,,,,,,,,
FINANCE,Annals of Actuarial Science,1,1,104,81,71,,15%,43%,29%,0.116,,,,,,,,,,,
FINANCE,Bancaria The Journal of the Italian Banking Association,1,,,,,,,,,,,,,,,,,,,,
FINANCE,Banks and Bank Systems,1,,83,101,107,,81%,22%,20%,0.028,,,,,,,,,,,
FINANCE,British Actuarial Journal,1,1,99,108,97,,31%,0%,0%,0.057,,,,,,,,,,,
FINANCE,China Finance Review International,1,1,65,73,70,,60%,32%,14%,0.034,,,,,,,,,,,
FINANCE,Critical Finance Review,1,1,70,87,15,,21%,34%,24%,0.941,,,,,,,,,,,
FINANCE,Finance,1,1,114,112,109,,39%,29%,36%,0.071,,,,,,,,,,,
FINANCE,Financial Services Review,1,,,,,,,,,,,,,,,,,,,,
FINANCE,Insurance Markets and Companies,1,,92,,,65%,29%,30%,0,,,,,,,,,,,,
FINANCE,Intelligent Systems in Accounting Finance and Management,1,1,14,37,41,,19%,33%,24%,0.139,,,,,,,,,,,
FINANCE,International Journal of Islamic and Middle Eastern Finance and Management,1,1,49,51,76,26,66%,41%,13%,0.019,,,,,,,,,,,
FINANCE,Investment Analysts Journal,1,1,61,83,84,52,76%,27%,14%,0.042,,,,,,,,,,,
FINANCE,Investment Management and Financial Innovations,1,,89,97,106,,61%,24%,15%,0.028,,,,,,,,,,,
FINANCE,Journal of Applied Corporate Finance,1,,,,,,,,,,,,,,,,,,,,
FINANCE,Journal of Behavioral and Experimental Finance,1,1,33,34,40,4,28%,40%,15%,0.496,,,,,,,,,,,
FINANCE,Journal of Capital Markets Studies,1,,,,,,,,,,,,,,,,,,,,
FINANCE,Journal of Computational Finance,1,1,75,76,72,54,8%,42%,35%,0,,,,,,,,,,,
FINANCE,Journal of Credit Risk,1,1,100,88,95,57,37%,27%,31%,2.045,,,,,,,,,,,
FINANCE,Journal of Economics and Finance,1,,82,92,91,,39%,31%,13%,0.165,,,,,,,,,,,
FINANCE,Journal of Economics Finance and Administrative Science,1,,52,41,78,,65%,33%,13%,0.156,,,,,,,,,,,
FINANCE,Journal of Energy Markets,1,1,101,105,89,,33%,29%,28%,0.056,,,,,,,,,,,
FINANCE,Journal of Financial Economic Policy,1,1,84,84,92,,78%,28%,10%,0.244,,,,,,,,,,,
FINANCE,Journal of Financial Management Markets and Institutions,1,1,,,,,53%,41%,3%,0.233,,,,,,,,,,,
FINANCE,Journal of Financial Market Infrastructures,1,,,,,,,,,,,,,,,,,,,,
FINANCE,Journal of Financial Regulation and Compliance,1,1,93,90,100,,86%,26%,13%,0.39,,,,,,,,,,,
FINANCE,Journal of Financial Reporting and Accounting,1,1,74,72,88,,58%,40%,6%,0.034,,,,,,,,,,,
FINANCE,Journal of Investment Strategies,1,1,113,111,111,,9%,13%,30%,0.022,,,,,,,,,,,
FINANCE,Journal of Prediction Markets,1,,,,,,,,,,,,,,,,,,,,
FINANCE,Journal of Property Investment and Finance,1,1,64,59,74,,47%,28%,17%,0.084,,,,,,,,,,,
FINANCE,Journal of Risk Finance,1,1,62,77,82,,37%,31%,20%,0.127,,,,,,,,,,,
FINANCE,Journal of Risk Model Validation,1,1,107,100,104,60,30%,28%,23%,0.027,,,,,,,,,,,
FINANCE,Journal of Sustainable Finance and Investment,1,1,46,69,59,,74%,33%,26%,1.45,,,,,,,,,,,
FINANCE,Managerial Finance,1,1,76,86,93,,41%,20%,10%,0.036,,,,,,,,,,,
FINANCE,Multinational Finance Journal,1,1,,,,,60%,30%,44%,0,,,,,,,,,,,
FINANCE,Public and Municipal Finance,1,,106,,,93%,50%,30%,0.1,,,,,,,,,,,,
FINANCE,Qualitative Research in Financial Markets,1,1,67,68,90,,69%,28%,15%,0.049,,,,,,,,,,,
FINANCE,Quarterly Journal of Finance,1,1,84,61,48,,31%,28%,19%,0.3,,,,,,,,,,,
FINANCE,Quarterly Journal of Finance and Accounting (QJFA),1,,,,,,,,,,,,,,,,,,,,
FINANCE,Review of Behavioral Finance,1,1,84,82,87,,34%,24%,11%,0.067,,,,,,,,,,,
FINANCE,Scandinavian Actuarial Journal,1,1,45,35,35,39,8%,49%,17%,0.042,,,,,,,,,,,
FINANCE,The Journal of Beta Investment Strategies,1,,,,,,,,,,,,,,,,,,,,
FINANCE,The Journal of Financial Data Science,1,,,,,8%,30%,35%,0.093,,,,,,,,,,,,
FINANCE,The Journal of Investing,1,,109,109,96,,13%,23%,20%,0.056,,,,,,,,,,,
FINANCE,The Journal of Structured Finance,1,,112,106,110,,28%,9%,7%,0.158,,,,,,,,,,,
FINANCE,The Journal of Wealth Management,1,,110,104,98,,19%,9%,17%,0.016,,,,,,,,,,,
HRM&EMP,Human Resource Management Journal (UK),4*,4*,4,5,4,2,33%,52%,9%,1,,,,,,,,,,,
HRM&EMP,British Journal of Industrial Relations,4,4,12,8,8,15,68%,42%,19%,3.291,,,,,,,,,,,
HRM&EMP,Human Resource Management (USA),4,4,3,7,6,3,40%,58%,10%,0.496,,,,,,,,,,,
HRM&EMP,Industrial Relations,4,4,25,15,10,22,73%,29%,17%,2.875,,,,,,,,,,,
HRM&EMP,Work Employment and Society,4,4,7,4,5,8,63%,34%,21%,2.184,,,,,,,,,,,
HRM&EMP,Economic and Industrial Democracy,3,3,19,16,15,20,69%,35%,13%,1.652,,,,,,,,,,,
HRM&EMP,European Journal of Industrial Relations,3,3,18,19,12,19,72%,53%,25%,2.902,,,,,,,,,,,
HRM&EMP,Human Resource Management Review,3,3,1,1,2,1,23%,38%,6%,0.466,,,,,,,,,,,
HRM&EMP,ILR Review,3,3,9,3,1,12,79%,32%,36%,7.072,,,,,,,,,,,
HRM&EMP,Industrial Law Journal,3,3,35,27,34,26,61%,12%,7%,1.386,,,,,,,,,,,
HRM&EMP,Industrial Relations Journal,3,3,48,37,26,,61%,33%,8%,0.886,,,,,,,,,,,
HRM&EMP,International Journal of Human Resource Management,3,3,5,10,11,5,34%,49%,10%,0.418,,,,,,,,,,,
HRM&EMP,New Technology Work and Employment,3,3,10,9,9,,32%,16%,6%,3.053,,,,,,,,,,,
HRM&EMP,Work and Occupations,3,3,6,2,3,10,55%,26%,11%,2.5,,,,,,,,,,,
HRM&EMP,Asia Pacific Journal of Human Resources,2,2,14,25,23,16,49%,50%,6%,0.282,,,,,,,,,,,
HRM&EMP,Career Development International,2,2,13,18,18,11,47%,41%,9%,0.139,,,,,,,,,,,
HRM&EMP,Career Development Quarterly,2,2,17,13,19,18,46%,18%,16%,0.195,,,,,,,,,,,
HRM&EMP,Employee Relations,2,2,21,24,25,17,60%,31%,9%,0.563,,,,,,,,,,,
HRM&EMP,Employee Responsibilities and Rights Journal,2,,39,48,40,,58%,7%,9%,0.169,,,,,,,,,,,
HRM&EMP,Human Resource Development International,2,2,24,26,27,,45%,39%,13%,0.206,,,,,,,,,,,
HRM&EMP,Human Resource Development Quarterly,2,2,11,12,17,7,37%,30%,11%,0.238,,,,,,,,,,,
HRM&EMP,Human Resource Development Review,2,2,8,6,1,36,23%,25%,10%,0.291,,,,,,,,,,,
HRM&EMP,Industrielle Beziehungen,2,2,47,47,44,,59%,13%,13%,0.168,,,,,,,,,,,
HRM&EMP,International Journal of Manpower,2,2,31,35,31,24,71%,40%,20%,1.083,,,,,,,,,,,
HRM&EMP,International Journal of Training and Development,2,2,22,17,29,,59%,29%,13%,0.305,,,,,,,,,,,
HRM&EMP,International Labour Review,2,2,30,23,30,25,95%,41%,22%,3.578,,,,,,,,,,,
HRM&EMP,Journal of Global Mobility,2,2,26,38,28,,37%,37%,10%,0.068,,,,,,,,,,,
HRM&EMP,Journal of Industrial Relations,2,2,20,22,16,21,100%,21%,7%,1.92,,,,,,,,,,,
HRM&EMP,Journal of Labor Research,2,2,40,46,39,27,80%,30%,20%,1.444,,,,,,,,,,,
